,stim,history,filename,class,onset,IndicoAPIExtractor,IndicoAPIExtractor
,,,,,,duration,sentiment
,,,,,,,
40,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,36.03,0.09,0.4215860655
41,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,36.12,0.38,0.9078440048
42,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,36.5,0.11,0.4690169086
43,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,36.61,0.23,0.9605132515
44,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,36.84,0.36,0.7666821674
45,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,37.48,0.33,0.0424595214
46,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.06,0.05,0.4690169086
47,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.11,0.21,0.3160221126
48,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.32,0.15,0.4411250696
49,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.47,0.08,0.4319546923
50,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.55,0.17,0.1415958392
51,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.72,0.2,0.5627333299
52,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.92,0.05,0.4690169086
53,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,38.97,0.36,0.4465556373
54,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,39.33,0.4,0.8171465697
55,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,40.41,0.25,0.8610473648
56,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,40.66,0.16,0.3048742565
57,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,40.82,0.21,0.9999281695
58,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,41.03,0.07,0.5730446524
59,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,41.1,0.21,0.8752961368
60,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,41.31,0.14,0.4319546923
61,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,41.72,0.17,0.5880763712
62,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,41.89,0.15,0.6283061585
63,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,42.04,0.04,0.4690169086
64,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,42.08,0.56,0.9997753819
65,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,42.64,0.38,0.9348967085
66,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,43.97,0.22,0.9965238994
67,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,44.19,0.49,0.7237405896
68,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,44.81,0.42,0.1138905586
69,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,45.23,0.18,0.6232721166
70,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,45.41,0.37,0.7306273416
71,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,45.78,0.11,0.4882899566
72,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,45.89,0.35,0.8710721266
73,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,46.24,0.34,0.3943096984
74,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,102.7,0.6,0.7666821674
75,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,134.27,0.28,0.0314897577
76,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,134.6,0.16,0.3470049909
77,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,134.76,0.35,0.0314897577
78,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,135.11,0.44,0.6758038101
79,,AudioStim->IBMSpeechAPIConverter/ComplexTextStim->IndicoAPIExtractor/ExtractorResult,,ComplexTextStim,136.06,0.18,0.4690169086
